symbol,direction,signal_time,entry_price,eval_time,eval_price,pnl_pct,result,exit_reason
KAITO-USDT-SWAP,LONG,2026-08-22T02:20:04.306353+00:00,0.3828,2026-08-22T05:31:14.789567+00:00,0.3657,-0.04467,LOSS,STOP_LOSS
MON-USDT-SWAP,SHORT,2026-08-22T03:12:47.913435+00:00,0.02953,2026-08-22T11:21:35.953550+00:00,0.02638,0.10667,WIN,TIME_EXIT
ASTER-USDT-SWAP,LONG,2026-08-22T04:23:16.170334+00:00,0.7442,2026-08-22T05:31:14.789567+00:00,0.6748,-0.09325,LOSS,STOP_LOSS
H-USDT-SWAP,LONG,2026-08-22T04:23:16.170334+00:00,0.08416,2026-08-22T05:31:14.789567+00:00,0.08038,-0.04491,LOSS,STOP_LOSS
RE-USDT-SWAP,LONG,2026-08-22T04:56:50.153339+00:00,0.55552,2026-08-22T05:59:06.266367+00:00,0.54212,-0.02412,LOSS,STOP_LOSS
DOS-USDT-SWAP,LONG,2026-08-22T04:56:50.153339+00:00,0.2563,2026-08-22T05:31:14.789567+00:00,0.2338,-0.08779,LOSS,STOP_LOSS
AEON-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.06322,2026-08-22T13:51:08.633360+00:00,0.06564,0.03828,WIN,TIME_EXIT
BIO-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.03035,2026-08-22T13:51:08.633360+00:00,0.03071,0.01186,WIN,TIME_EXIT
RIVER-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,2.627,2026-08-22T06:30:33.614849+00:00,2.552,-0.02855,LOSS,STOP_LOSS
VIRTUAL-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.6986,2026-08-22T08:53:29.672727+00:00,0.6846,-0.02004,LOSS,STOP_LOSS
APT-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.6431,2026-08-22T10:27:04.581689+00:00,0.6325,-0.01648,LOSS,STOP_LOSS
BONK-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,3.226e-06,2026-08-22T10:27:04.581689+00:00,3.119e-06,-0.03317,LOSS,STOP_LOSS
ONDO-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.387,2026-08-22T08:09:56.007261+00:00,0.3818,-0.01344,LOSS,STOP_LOSS
BASED-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.0812,2026-08-22T06:30:33.614849+00:00,0.07981,-0.01712,LOSS,STOP_LOSS
BNB-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,694.9,2026-08-22T10:27:04.581689+00:00,687.4,-0.01079,LOSS,STOP_LOSS
CHZ-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.0144,2026-08-22T13:51:08.633360+00:00,0.01473,0.02292,WIN,TIME_EXIT
ENA-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.14863,2026-08-22T10:27:04.581689+00:00,0.14498,-0.02456,LOSS,STOP_LOSS
NEAR-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,1.912,2026-08-22T10:27:04.581689+00:00,1.868,-0.02301,LOSS,STOP_LOSS
OKB-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,111.11,2026-08-22T10:27:04.581689+00:00,108.92,-0.01971,LOSS,STOP_LOSS
OP-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.11122,2026-08-22T08:53:29.672727+00:00,0.11008,-0.01025,LOSS,STOP_LOSS
PNUT-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.05583,2026-08-22T05:59:06.266367+00:00,0.05488,-0.01702,LOSS,STOP_LOSS
SUI-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.8494,2026-08-22T10:05:25.761162+00:00,0.8283,-0.02484,LOSS,STOP_LOSS
WLFI-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.06244,2026-08-22T07:16:35.398239+00:00,0.06126,-0.01890,LOSS,STOP_LOSS
XRP-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,1.505,2026-08-22T10:05:25.761162+00:00,1.4762,-0.01914,LOSS,STOP_LOSS
ADA-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.2229,2026-08-22T10:27:04.581689+00:00,0.2198,-0.01391,LOSS,STOP_LOSS
FIL-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.7894,2026-08-22T08:53:29.672727+00:00,0.7766,-0.01621,LOSS,STOP_LOSS
INJ-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,4.929,2026-08-22T08:53:29.672727+00:00,4.878,-0.01035,LOSS,STOP_LOSS
JUP-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.2077,2026-08-22T08:53:29.672727+00:00,0.2055,-0.01059,LOSS,STOP_LOSS
MORPHO-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,2.33,2026-08-22T05:59:06.266367+00:00,2.2867,-0.01858,LOSS,STOP_LOSS
MUBARAK-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.026969,2026-08-22T07:16:35.398239+00:00,0.025952,-0.03771,LOSS,STOP_LOSS
PEOPLE-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.010778,2026-08-22T05:59:06.266367+00:00,0.010503,-0.02551,LOSS,STOP_LOSS
PI-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.09512,2026-08-22T08:53:29.672727+00:00,0.09234,-0.02923,LOSS,STOP_LOSS
PIPPIN-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.01957,2026-08-22T06:30:33.614849+00:00,0.01924,-0.01686,LOSS,STOP_LOSS
SOL-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,94.11,2026-08-22T10:27:04.581689+00:00,91.64,-0.02625,LOSS,STOP_LOSS
TIA-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.3851,2026-08-22T10:05:25.761162+00:00,0.3806,-0.01169,LOSS,STOP_LOSS
